200.0000,0.2780
201.0000,0.2798
202.0000,0.2816
203.0000,0.2834
204.0000,0.2852
205.0000,0.2870
206.0000,0.2888
207.0000,0.2907
208.0000,0.2925
209.0000,0.2943
210.0000,0.2962
211.0000,0.2980
212.0000,0.2999
213.0000,0.3018
214.0000,0.3036
215.0000,0.3055
216.0000,0.3074
217.0000,0.3093
218.0000,0.3112
219.0000,0.3131
220.0000,0.3150
221.0000,0.3169
222.0000,0.3188
223.0000,0.3208
224.0000,0.3227
225.0000,0.3247
226.0000,0.3266
227.0000,0.3286
228.0000,0.3305
229.0000,0.3325
230.0000,0.3345
231.0000,0.3365
232.0000,0.3384
233.0000,0.3404
234.0000,0.3424
235.0000,0.3445
236.0000,0.3465
237.0000,0.3485
238.0000,0.3505
239.0000,0.3525
240.0000,0.3546
241.0000,0.3566
242.0000,0.3587
243.0000,0.3607
244.0000,0.3628
245.0000,0.3649
246.0000,0.3670
247.0000,0.3690
248.0000,0.3711
249.0000,0.3732
250.0000,0.3753
251.0000,0.3774
252.0000,0.3795
253.0000,0.3816
254.0000,0.3838
255.0000,0.3859
256.0000,0.3880
257.0000,0.3902
258.0000,0.3923
259.0000,0.3945
260.0000,0.3966
261.0000,0.3988
262.0000,0.4009
263.0000,0.4031
264.0000,0.4053
265.0000,0.4075
266.0000,0.4097
267.0000,0.4118
268.0000,0.4140
269.0000,0.4162
270.0000,0.4184
271.0000,0.4207
272.0000,0.4229
273.0000,0.4251
274.0000,0.4273
275.0000,0.4296
276.0000,0.4318
277.0000,0.4340
278.0000,0.4363
279.0000,0.4385
280.0000,0.4408
281.0000,0.4430
282.0000,0.4453
283.0000,0.4476
284.0000,0.4498
285.0000,0.4521
286.0000,0.4544
287.0000,0.4567
288.0000,0.4590
289.0000,0.4613
290.0000,0.4636
291.0000,0.4659
292.0000,0.4682
293.0000,0.4705
294.0000,0.4728
295.0000,0.4751
296.0000,0.4774
297.0000,0.4798
298.0000,0.4821
299.0000,0.4844
300.0000,0.4868
301.0000,0.4891
302.0000,0.4914
303.0000,0.4938
304.0000,0.4961
305.0000,0.4985
306.0000,0.5008
307.0000,0.5032
308.0000,0.5055
309.0000,0.5079
310.0000,0.5103
311.0000,0.5126
312.0000,0.5150
313.0000,0.5174
314.0000,0.5198
315.0000,0.5222
316.0000,0.5245
317.0000,0.5269
318.0000,0.5293
319.0000,0.5317
320.0000,0.5341
321.0000,0.5365
322.0000,0.5389
323.0000,0.5413
324.0000,0.5437
325.0000,0.5461
326.0000,0.5485
327.0000,0.5509
328.0000,0.5533
329.0000,0.5557
330.0000,0.5581
331.0000,0.5605
332.0000,0.5629
333.0000,0.5653
334.0000,0.5678
335.0000,0.5702
336.0000,0.5726
337.0000,0.5750
338.0000,0.5774
339.0000,0.5799
340.0000,0.5823
341.0000,0.5847
342.0000,0.5871
343.0000,0.5896
344.0000,0.5920
345.0000,0.5944
346.0000,0.5968
347.0000,0.5993
348.0000,0.6017
349.0000,0.6041
350.0000,0.6065
351.0000,0.6090
352.0000,0.6114
353.0000,0.6138
354.0000,0.6162
355.0000,0.6187
356.0000,0.6211
357.0000,0.6235
358.0000,0.6259
359.0000,0.6284
360.0000,0.6308
361.0000,0.6332
362.0000,0.6356
363.0000,0.6380
364.0000,0.6405
365.0000,0.6429
366.0000,0.6453
367.0000,0.6477
368.0000,0.6501
369.0000,0.6525
370.0000,0.6549
371.0000,0.6574
372.0000,0.6598
373.0000,0.6622
374.0000,0.6646
375.0000,0.6670
376.0000,0.6694
377.0000,0.6718
378.0000,0.6742
379.0000,0.6766
380.0000,0.6790
381.0000,0.6813
382.0000,0.6837
383.0000,0.6861
384.0000,0.6885
385.0000,0.6909
386.0000,0.6932
387.0000,0.6956
388.0000,0.6980
389.0000,0.7004
390.0000,0.7027
391.0000,0.7051
392.0000,0.7074
393.0000,0.7098
394.0000,0.7121
395.0000,0.7145
396.0000,0.7168
397.0000,0.7192
398.0000,0.7215
399.0000,0.7238
400.0000,0.7261
401.0000,0.7285
402.0000,0.7308
403.0000,0.7331
404.0000,0.7354
405.0000,0.7377
406.0000,0.7400
407.0000,0.7423
408.0000,0.7446
409.0000,0.7469
410.0000,0.7492
411.0000,0.7514
412.0000,0.7537
413.0000,0.7560
414.0000,0.7582
415.0000,0.7605
416.0000,0.7627
417.0000,0.7650
418.0000,0.7672
419.0000,0.7694
420.0000,0.7717
421.0000,0.7739
422.0000,0.7761
423.0000,0.7783
424.0000,0.7805
425.0000,0.7827
426.0000,0.7849
427.0000,0.7871
428.0000,0.7893
429.0000,0.7914
430.0000,0.7936
431.0000,0.7957
432.0000,0.7979
433.0000,0.8000
434.0000,0.8022
435.0000,0.8043
436.0000,0.8064
437.0000,0.8085
438.0000,0.8106
439.0000,0.8127
440.0000,0.8148
441.0000,0.8169
442.0000,0.8190
443.0000,0.8210
444.0000,0.8231
445.0000,0.8251
446.0000,0.8272
447.0000,0.8292
448.0000,0.8312
449.0000,0.8333
450.0000,0.8353
451.0000,0.8373
452.0000,0.8393
453.0000,0.8412
454.0000,0.8432
455.0000,0.8452
456.0000,0.8471
457.0000,0.8491
458.0000,0.8510
459.0000,0.8530
460.0000,0.8549
461.0000,0.8568
462.0000,0.8587
463.0000,0.8606
464.0000,0.8625
465.0000,0.8643
466.0000,0.8662
467.0000,0.8680
468.0000,0.8699
469.0000,0.8717
470.0000,0.8735
471.0000,0.8754
472.0000,0.8772
473.0000,0.8789
474.0000,0.8807
475.0000,0.8825
476.0000,0.8843
477.0000,0.8860
478.0000,0.8877
479.0000,0.8895
